gene_id	WT_DESeq2_log2FC	WT_MACS3_log2FC	WT_TSS_coverage
YBR009C	3.99945093618215	-1.00911669726617	1879
YBL076C	3.64036836316497	-0.963440312297046	676
Q0158	2.89209682035267	2.22323965665988	5381
YLR304C	2.60726285603114	-1.36679532157631	328
YHR068W	2.43431423432701	-1.02276621877369	613
YDL100C	2.31007141566405	-0.952646242490613	793
YDL061C	2.26964943843107	1.35381394092162	1479
YJR145C	1.99892004969585	-1.05005548156851	2011
YLR197W	1.82103681020637	-1.08469003772442	855
YGL245W	1.60941383279977	-0.923003284988465	699
YLR075W	1.59517864228563	-1.18420186430095	17835
YDR454C	1.49137340046104	-0.974452939202926	1139
YPL106C	1.45826380670238	0.633846240243143	1580
YOR122C	1.36348869700915	-0.579043081445189	839
YMR108W	1.19987120577896	-0.924384739042264	548
YNL031C	1.15420325140968	0.399651839329476	3400
YDL191W	1.14028708200754	-1.19127422270968	284
YKR048C	1.01598418655043	-1.08137522412006	331
YEL001C	-1.08179286784474	-0.525965005016752	354
YKR042W	-1.13499402908402	1.60915051149149	304
YBL087C	-1.1357816925217	-1.3063116961438	54
YDR224C	-1.14593586804122	1.75620272872361	1453
YGR265W	-1.19531499813747	-1.25732062280321	713
YER019C-A	-1.20615992300368	-0.992601898177532	367
YHR193C	-1.21541593974957	0.610227084276652	2909
YLR447C	-1.2160829882414	-1.37048366629653	1138
YBR191W	-1.22199163127105	-1.07588138928471	1147
YHL034C	-1.33662860137913	0.946555696599219	524
YDR037W	-1.48583694564631	-0.817754316030632	720
YGR037C	-1.57968983677644	0.823334142319922	791
YIL051C	-1.72614606299666	1.10605639484508	1979
YPR036W	-4.06160930186619	-1.53203359424353	1084
YPR063C	-4.51546706612106	0.656789701334422	314
YPR035W	-5.08262708796962	-1.11762152647678	1405
