Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IN3.bam
YDL246C	2
YDL243C	13
YDR387C	36
YDL094C	2
YDR438W	27
YDR523C	8
YDR542W	0
YDR492W	32
YDR018C	1
YDL189W	39
YDR508C	64
YDR462W	10
YDR175C	61
YDR186C	78
YDR150W	405
YDR243C	63
YDL182W	64
YDR362C	44
YDR232W	45
YDR158W	944
YDR439W	12
YDL206W	11
YDR125C	11
YDR338C	43
YDR526C	1
YDR533C	21
YDR272W	165
YDR197W	22
YDR512C	18
YDR489W	8
YDR299W	99
YDL015C	349
YDR304C	280
YDR271C	0
YDL181W	4
YDR367W	10
YDR085C	7
YDL097C	264
YDL139C	10
YDR200C	61
YDR191W	11
YDR451C	36
YDR469W	31
YDR470C	16
YDR105C	80
YDR483W	418
YDL123W	0
YDL199C	3
YDR505C	173
YDL045W-A	20
YDL045C	64
YDR361C	163
YDR406W-A	0
YDR199W	1
YDR266C	109
YDL242W	0
YDR002W	998
YDR214W	212
YDR130C	34
YDL176W	21
YDR358W	46
YDR544C	0
YDR460W	20
snR84	2675
YDR034W-B	0
YDL028C	50
YDR061W	106
YDR060W	987
YDR169C-A	1
YDR363W	28
YDR422C	74
YDR119W	594
tR(ACG)D	0
YDR097C	169
YDR042C	5
YDL160C	77
YDR425W	6
snR13	31
YDR228C	16
YDR319C	34
YDR471W	648
YDR089W	39
tD(GUC)D	0
YDR275W	40
YDR043C	6
YDR129C	930
YDR136C	2
YDL066W	801
YDR302W	70
YDR239C	25
YDR539W	107
tK(CUU)D1	0
YDL125C	120
YDR493W	20
YDR101C	399
YDR182W-A	5
YDR212W	881
YDR476C	7
YDL131W	55
YDR458C	52
YDR081C	82
YDL071C	1
YDR113C	20
YDR168W	299
YDR520C	52
YDR307W	68
YDR265W	32
YDL076C	32
YDL006W	74
YDL086W	75
YDR238C	589
YDR077W	19
YDR381C-A	16
YDL023C	0
YDL083C	360
YDR036C	49
YDR057W	49
YDR513W	89
YDR487C	220
YDR066C	5
YDR352W	31
YDR278C	0
YDR079C-A	8
YDR204W	50
YDL247W-A	0
YDL024C	4
tA(AGC)D	0
YDR109C	54
YDR466W	33
YDR427W	389
YDL044C	31
YDL079C	2
YDR193W	0
YDR305C	38
YDR377W	98
YDR219C	42
YDR416W	109
YDR365C	357
YDL233W	7
YDR287W	44
YDR448W	59
YDR180W	171
tF(GAA)D	0
tT(AGU)D	0
YDR294C	195
YDR198C	54
YDL163W	2
YDL119C	25
YDR501W	4
YDL214C	5
YDR264C	309
YDR343C	84
YDR373W	101
YDR354W	84
YDR246W	13
YDR428C	66
YDR157W	1
YDR316W	47
YDL142C	16
YDR253C	0
YDL112W	454
YDR545W	63
YDL187C	2
YDL138W	40
YDR528W	6
YDR284C	128
YDR050C	5157
YDL010W	28
YDL065C	50
YDR349C	57
YDL098C	15
YDL234C	78
YDR118W	18
YDR118W-A	0
YDR159W	122
YDR111C	109
YDR128W	66
YDL034W	1
YDR065W	23
YDL004W	82
YDR024W	48
YDL171C	1500
YDR083W	78
YDR457W	775
YDR014W	43
YDR206W	170
YDR478W	13
YDR169C	2
YDR115W	16
YDL159W-A	0
YDL232W	0
YDL240C-A	0
tE(CUC)D	0
YDL152W	2
YDR432W	19
YDL022C-A	0
YDL114W-A	0
YDR410C	51
YDR464C-A	0
YDL072C	76
YDR053W	1
YDL012C	3
YDR482C	14
YDL070W	217
YDR064W	1170
YDL135C	81
YDL077C	83
YDR354C-A	0
YDL033C	32
YDL031W	255
YDR398W	226
YDR326C	202
YDL052C	29
YDR536W	0
YDR397C	45
YDL116W	260
YDR028C	404
YDL007W	486
YDR236C	37
YDR011W	464
YDR155C	299
YDR414C	34
YDR026C	38
YDL073W	174
tY(GUA)D	0
YDL115C	42
YDL145C	488
YDR203W	0
YDL104C	24
YDL149W	18
YDR231C	11
YDR045C	85
YDL075W	1033
YDR415C	32
YDR339C	87
YDL213C	130
YDR096W	11
YDL019C	180
YDL022W	8
YDR413C	5
YDR391C	13
YDR091C	599
YDR240C	56
YDL244W	0
YDR179C	10
YDL165W	71
YDL140C	380
YDR120C	279
YDR003W	23
YDR499W	54
YDR166C	81
YDL092W	99
YDL041W	0
YDL241W	8
YDL082W	886
YDR277C	5
YDR291W	126
YDR475C	9
YDR244W	78
YDR407C	84
YDR382W	2325
YDR102C	0
YDL188C	85
YDR405W	6
YDR443C	100
YDR059C	9
YDR144C	151
YDL157C	88
YDL058W	304
YDL096C	3
YDL155W	75
YDR147W	57
YDL191W	1420
YDL128W	74
YDR310C	83
YDL160C-A	13
YDR127W	753
YDR497C	520
YDL162C	0
tS(AGA)D3	0
YDR201W	32
YDR163W	16
YDL146W	21
YDR363W-A	79
YDL221W	1
YDL089W	47
YDR385W	8047
YDR331W	120
YDR196C	89
YDR116C	44
YDR001C	95
YDL230W	39
YDR160W	30
YDR123C	8
YDR322W	33
YDR040C	215
YDR025W	275
YDR046C	243
YDL057W	12
YDL248W	29
YDR008C	0
YDR029W	1
YDR485C	43
YDR408C	86
YDR038C	212
YDL204W	7
YDR019C	144
YDR477W	43
YDR254W	16
YDR514C	67
YDR296W	23
YDL216C	16
YDL100C	695
YDL068W	0
YDL026W	0
YDL124W	19
YDL227C	82
YDL111C	45
YDR324C	405
YDL170W	34
YDR317W	8
YDR436W	8
YDR208W	60
YDR386W	41
YDR504C	8
YDL220C	15
YDR396W	2
YDR258C	161
YDR176W	73
YDL099W	32
YDR380W	137
YDL110C	17
YDR148C	226
YDL201W	22
YDL107W	24
YDR515W	48
YDR133C	47
YDR378C	55
YDR473C	29
YDR403W	9
YDR268W	48
YDR409W	6
YDR173C	26
YDR187C	1
YDR389W	56
YDR417C	10
YDR165W	284
YDL113C	42
YDR426C	1
YDR521W	0
YDR086C	106
YDL021W	4
YDR023W	1935
YDR394W	214
YDR320C-A	16
YDR003W-A	4
YDR183W	5
YDR245W	278
YDR431W	1
YDL154W	35
YDL184C	50
YDR153C	27
YDR014W-A	1
YDR434W	265
YDL002C	42
YDR225W	1007
YDR418W	1681
YDR224C	77
YDR502C	226
YDR447C	1692
YDL039C	10
YDL225W	167
YDR259C	6
YDR495C	65
YDL151C	5
YDR357C	35
YDR370C	66
YDR298C	123
YDR276C	14
YDL185C-A	4
YDR545C-A	0
tM(CAU)D	0
YDL247W	2
YDR406W	42
YDR273W	6
YDR269C	0
YDR453C	6
YDR383C	31
YDR375C	57
YDL161W	48
YDL051W	410
YDR084C	45
YDL056W	38
YDR344C	3
YDR320C	2
YDR221W	138
tI(AAU)D	0
YDL032W	0
YDR456W	146
YDL036C	50
tL(CAA)D	0
YDL217C	31
snR63	1272
YDR334W	151
YDL049C	7
YDL164C	132
YDR384C	8
YDR149C	1
YDR093W	78
YDR071C	214
YDL143W	855
YDR032C	132
tR(UCU)D	0
YDR063W	34
YDL166C	102
YDR004W	72
YDR151C	39
YDR037W	1483
YDL175C	19
YDR286C	8
YDR172W	1369
YDL174C	53
YDR080W	58
YDR503C	29
YDR069C	32
YDR047W	200
YDR215C	0
YDR267C	66
YDR142C	27
YDL212W	315
YDR249C	28
YDL209C	26
YDR044W	49
tK(UUU)D	1
YDR311W	73
YDL159C-B	0
YDR222W	73
YDR510C-A	1
YDR401W	4
YDR207C	5
YDL005C	18
YDR295C	60
YDR543C	0
YDL208W	318
YDR135C	802
YDL114W	0
YDR247W	5
YDL197C	5
YDR229W	42
YDR095C	0
YDR027C	105
YDL106C	4
YDR404C	68
YDR256C	10
YDR518W	122
YDR055W	86
YDL087C	9
YDR177W	167
YDL014W	238
YDR289C	47
YDL159W	4
YDR532C	37
YDR137W	112
YDL153C	207
YDR393W	28
YDR506C	23
YDL219W	67
YDL090C	67
YDR033W	915
YDR035W	198
YDR332W	11
YDR510W	13
YDL055C	3084
YDR480W	12
YDL103C	176
YDL085C-A	23
YDR350C	48
YDR342C	80
YDR087C	164
YDL236W	259
YDR012W	345
YDL121C	127
YDR525W-A	14
tG(GCC)D2	0
YDL190C	271
YDL047W	78
YDR099W	20
YDR092W	50
YDR164C	73
YDR058C	16
YDL020C	60
YDL025C	48
YDR374C	1
YDL207W	62
YDR270W	32
YDR152W	92
YDL148C	423
tI(UAU)D	17
YDR379C-A	3
YDR218C	1
YDL018C	30
YDR507C	138
YDL003W	144
YDR524C-B	153
YDR371W	65
YDR359C	9
YDL180W	61
YDL133W	72
YDR335W	366
YDR351W	81
YDL150W	82
YDL177C	14
YDR171W	59
YDR364C	62
YDR309C	9
YDL239C	28
YDL228C	40
YDL156W	20
YDL016C	51
tX(XXX)D	0
YDR524W-C	0
YDL085W	0
YDR300C	129
YDL168W	229
YDR360W	0
YDR195W	33
YDR321W	588
YDR237W	74
YDL127W	0
YDR107C	53
YDR472W	59
YDL030W	65
YDR468C	56
YDL084W	2792
YDL203C	21
YDL025W-A	0
YDR285W	17
YDL229W	5791
YDR329C	90
YDR034C	37
YDR009W	12
tS(AGA)D2	0
YDR488C	21
YDR103W	126
YDR336W	39
YDL101C	46
YDR162C	37
YDR312W	50
YDL061C	29
