Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IP3.bam
YDL246C	1
YDL243C	7
YDR387C	15
YDL094C	1
YDR438W	13
YDR523C	1
YDR542W	0
YDR492W	14
YDR018C	0
YDL189W	24
YDR508C	34
YDR462W	5
YDR175C	16
YDR186C	25
YDR150W	30
YDR243C	8
YDL182W	69
YDR362C	19
YDR232W	80
YDR158W	525
YDR439W	13
YDL206W	2
YDR125C	1
YDR338C	11
YDR526C	1
YDR533C	14
YDR272W	44
YDR197W	23
YDR512C	4
YDR489W	10
YDR299W	38
YDL015C	102
YDR304C	136
YDR271C	0
YDL181W	3
YDR367W	9
YDR085C	8
YDL097C	189
YDL139C	4
YDR200C	9
YDR191W	5
YDR451C	10
YDR469W	15
YDR470C	7
YDR105C	13
YDR483W	104
YDL123W	1
YDL199C	1
YDR505C	30
YDL045W-A	15
YDL045C	20
YDR361C	69
YDR406W-A	0
YDR199W	0
YDR266C	50
YDL242W	0
YDR002W	387
YDR214W	110
YDR130C	3
YDL176W	9
YDR358W	6
YDR544C	1
YDR460W	11
snR84	875
YDR034W-B	0
YDL028C	14
YDR061W	9
YDR060W	73
YDR169C-A	0
YDR363W	9
YDR422C	14
YDR119W	47
tR(ACG)D	0
YDR097C	39
YDR042C	1
YDL160C	90
YDR425W	5
snR13	21
YDR228C	8
YDR319C	12
YDR471W	495
YDR089W	28
tD(GUC)D	0
YDR275W	9
YDR043C	1
YDR129C	98
YDR136C	0
YDL066W	310
YDR302W	12
YDR239C	14
YDR539W	25
tK(CUU)D1	0
YDL125C	82
YDR493W	10
YDR101C	101
YDR182W-A	0
YDR212W	250
YDR476C	21
YDL131W	48
YDR458C	12
YDR081C	17
YDL071C	0
YDR113C	5
YDR168W	44
YDR520C	18
YDR307W	11
YDR265W	10
YDL076C	14
YDL006W	16
YDL086W	71
YDR238C	104
YDR077W	9
YDR381C-A	11
YDL023C	0
YDL083C	413
YDR036C	20
YDR057W	5
YDR513W	28
YDR487C	74
YDR066C	4
YDR352W	26
YDR278C	0
YDR079C-A	1
YDR204W	21
YDL247W-A	0
YDL024C	2
tA(AGC)D	0
YDR109C	7
YDR466W	12
YDR427W	132
YDL044C	7
YDL079C	1
YDR193W	1
YDR305C	9
YDR377W	34
YDR219C	15
YDR416W	12
YDR365C	82
YDL233W	7
YDR287W	9
YDR448W	16
YDR180W	18
tF(GAA)D	0
tT(AGU)D	0
YDR294C	35
YDR198C	17
YDL163W	2
YDL119C	10
YDR501W	1
YDL214C	1
YDR264C	24
YDR343C	14
YDR373W	36
YDR354W	57
YDR246W	7
YDR428C	11
YDR157W	0
YDR316W	4
YDL142C	14
YDR253C	5
YDL112W	54
YDR545W	31
YDL187C	0
YDL138W	11
YDR528W	13
YDR284C	43
YDR050C	3555
YDL010W	13
YDL065C	10
YDR349C	31
YDL098C	5
YDL234C	5
YDR118W	14
YDR118W-A	0
YDR159W	17
YDR111C	12
YDR128W	17
YDL034W	0
YDR065W	6
YDL004W	62
YDR024W	5
YDL171C	494
YDR083W	18
YDR457W	103
YDR014W	2
YDR206W	21
YDR478W	7
YDR169C	11
YDR115W	9
YDL159W-A	0
YDL232W	1
YDL240C-A	0
tE(CUC)D	0
YDL152W	1
YDR432W	25
YDL022C-A	0
YDL114W-A	0
YDR410C	23
YDR464C-A	0
YDL072C	40
YDR053W	0
YDL012C	12
YDR482C	6
YDL070W	112
YDR064W	905
YDL135C	48
YDL077C	12
YDR354C-A	2
YDL033C	3
YDL031W	34
YDR398W	53
YDR326C	30
YDL052C	40
YDR536W	1
YDR397C	35
YDL116W	34
YDR028C	36
YDL007W	74
YDR236C	16
YDR011W	47
YDR155C	230
YDR414C	11
YDR026C	7
YDL073W	35
tY(GUA)D	0
YDL115C	9
YDL145C	202
YDR203W	0
YDL104C	3
YDL149W	8
YDR231C	11
YDR045C	16
YDL075W	459
YDR415C	9
YDR339C	70
YDL213C	49
YDR096W	15
YDL019C	38
YDL022W	70
YDR413C	0
YDR391C	12
YDR091C	126
YDR240C	13
YDL244W	0
YDR179C	7
YDL165W	41
YDL140C	306
YDR120C	49
YDR003W	8
YDR499W	7
YDR166C	12
YDL092W	29
YDL041W	1
YDL241W	4
YDL082W	803
YDR277C	4
YDR291W	25
YDR475C	5
YDR244W	14
YDR407C	22
YDR382W	981
YDR102C	1
YDL188C	56
YDR405W	10
YDR443C	22
YDR059C	8
YDR144C	37
YDL157C	39
YDL058W	33
YDL096C	2
YDL155W	22
YDR147W	11
YDL191W	366
YDL128W	16
YDR310C	12
YDL160C-A	5
YDR127W	184
YDR497C	105
YDL162C	0
tS(AGA)D3	0
YDR201W	2
YDR163W	2
YDL146W	13
YDR363W-A	32
YDL221W	0
YDL089W	10
YDR385W	1697
YDR331W	27
YDR196C	24
YDR116C	27
YDR001C	33
YDL230W	11
YDR160W	5
YDR123C	2
YDR322W	31
YDR040C	27
YDR025W	728
YDR046C	57
YDL057W	10
YDL248W	9
YDR008C	0
YDR029W	0
YDR485C	6
YDR408C	33
YDR038C	22
YDL204W	3
YDR019C	35
YDR477W	23
YDR254W	5
YDR514C	15
YDR296W	16
YDL216C	1
YDL100C	391
YDL068W	0
YDL026W	0
YDL124W	53
YDL227C	32
YDL111C	59
YDR324C	53
YDL170W	18
YDR317W	0
YDR436W	6
YDR208W	26
YDR386W	5
YDR504C	4
YDL220C	5
YDR396W	1
YDR258C	45
YDR176W	11
YDL099W	16
YDR380W	13
YDL110C	3
YDR148C	90
YDL201W	63
YDL107W	0
YDR515W	11
YDR133C	79
YDR378C	7
YDR473C	3
YDR403W	0
YDR268W	19
YDR409W	2
YDR173C	13
YDR187C	0
YDR389W	20
YDR417C	23
YDR165W	75
YDL113C	13
YDR426C	1
YDR521W	0
YDR086C	62
YDL021W	3
YDR023W	404
YDR394W	115
YDR320C-A	5
YDR003W-A	2
YDR183W	4
YDR245W	52
YDR431W	0
YDL154W	11
YDL184C	17
YDR153C	24
YDR014W-A	0
YDR434W	31
YDL002C	9
YDR225W	612
YDR418W	1268
YDR224C	207
YDR502C	106
YDR447C	640
YDL039C	5
YDL225W	27
YDR259C	1
YDR495C	6
YDL151C	1
YDR357C	5
YDR370C	10
YDR298C	88
YDR276C	34
YDL185C-A	1
YDR545C-A	0
tM(CAU)D	0
YDL247W	0
YDR406W	11
YDR273W	2
YDR269C	0
YDR453C	3
YDR383C	7
YDR375C	21
YDL161W	9
YDL051W	154
YDR084C	23
YDL056W	7
YDR344C	0
YDR320C	9
YDR221W	15
tI(AAU)D	0
YDL032W	0
YDR456W	20
YDL036C	18
tL(CAA)D	0
YDL217C	12
snR63	1314
YDR334W	22
YDL049C	5
YDL164C	26
YDR384C	45
YDR149C	1
YDR093W	29
YDR071C	86
YDL143W	159
YDR032C	61
tR(UCU)D	0
YDR063W	21
YDL166C	34
YDR004W	16
YDR151C	18
YDR037W	406
YDL175C	9
YDR286C	7
YDR172W	169
YDL174C	21
YDR080W	9
YDR503C	10
YDR069C	10
YDR047W	35
YDR215C	1
YDR267C	13
YDR142C	10
YDL212W	76
YDR249C	12
YDL209C	6
YDR044W	41
tK(UUU)D	0
YDR311W	13
YDL159C-B	0
YDR222W	15
YDR510C-A	0
YDR401W	3
YDR207C	2
YDL005C	17
YDR295C	15
YDR543C	0
YDL208W	100
YDR135C	29
YDL114W	0
YDR247W	5
YDL197C	9
YDR229W	13
YDR095C	0
YDR027C	24
YDL106C	11
YDR404C	22
YDR256C	4
YDR518W	16
YDR055W	29
YDL087C	11
YDR177W	43
YDL014W	237
YDR289C	14
YDL159W	6
YDR532C	2
YDR137W	16
YDL153C	18
YDR393W	5
YDR506C	1
YDL219W	35
YDL090C	13
YDR033W	367
YDR035W	131
YDR332W	10
YDR510W	56
YDL055C	1441
YDR480W	10
YDL103C	51
YDL085C-A	3
YDR350C	32
YDR342C	15
