Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN3.bam
YDL246C	0
YDL243C	2
YDR387C	8
YDL094C	2
YDR438W	9
YDR523C	0
YDR542W	0
YDR492W	9
YDR018C	1
YDL189W	9
YDR508C	53
YDR462W	2
YDR175C	14
YDR186C	16
YDR150W	86
YDR243C	6
YDL182W	35
YDR362C	8
YDR232W	28
YDR158W	707
YDR439W	5
YDL206W	4
YDR125C	1
YDR338C	16
YDR526C	0
YDR533C	7
YDR272W	20
YDR197W	3
YDR512C	8
YDR489W	13
YDR299W	15
YDL015C	204
YDR304C	166
YDR271C	0
YDL181W	3
YDR367W	9
YDR085C	2
YDL097C	123
YDL139C	1
YDR200C	5
YDR191W	7
YDR451C	8
YDR469W	4
YDR470C	1
YDR105C	52
YDR483W	297
YDL123W	3
YDL199C	2
YDR505C	29
YDL045W-A	4
YDL045C	19
YDR361C	46
YDR406W-A	0
YDR199W	0
YDR266C	30
YDL242W	0
YDR002W	212
YDR214W	110
YDR130C	5
YDL176W	5
YDR358W	4
YDR544C	0
YDR460W	6
snR84	4313
YDR034W-B	0
YDL028C	5
YDR061W	38
YDR060W	101
YDR169C-A	0
YDR363W	5
YDR422C	34
YDR119W	219
tR(ACG)D	1
YDR097C	51
YDR042C	1
YDL160C	29
YDR425W	0
snR13	173
YDR228C	4
YDR319C	5
YDR471W	321
YDR089W	31
tD(GUC)D	4
YDR275W	10
YDR043C	3
YDR129C	218
YDR136C	1
YDL066W	808
YDR302W	20
YDR239C	10
YDR539W	31
tK(CUU)D1	2
YDL125C	62
YDR493W	5
YDR101C	116
YDR182W-A	0
YDR212W	571
YDR476C	13
YDL131W	21
YDR458C	7
YDR081C	15
YDL071C	0
YDR113C	7
YDR168W	53
YDR520C	13
YDR307W	25
YDR265W	5
YDL076C	5
YDL006W	21
YDL086W	46
YDR238C	245
YDR077W	6
YDR381C-A	10
YDL023C	0
YDL083C	377
YDR036C	17
YDR057W	8
YDR513W	30
YDR487C	151
YDR066C	0
YDR352W	14
YDR278C	0
YDR079C-A	3
YDR204W	33
YDL247W-A	0
YDL024C	2
tA(AGC)D	0
YDR109C	13
YDR466W	6
YDR427W	72
YDL044C	4
YDL079C	2
YDR193W	0
YDR305C	11
YDR377W	26
YDR219C	13
YDR416W	20
YDR365C	39
YDL233W	4
YDR287W	9
YDR448W	17
YDR180W	47
tF(GAA)D	0
tT(AGU)D	0
YDR294C	85
YDR198C	10
YDL163W	0
YDL119C	7
YDR501W	2
YDL214C	0
YDR264C	148
YDR343C	56
YDR373W	26
YDR354W	52
YDR246W	1
YDR428C	23
YDR157W	0
YDR316W	3
YDL142C	8
YDR253C	0
YDL112W	115
YDR545W	78
YDL187C	1
YDL138W	11
YDR528W	3
YDR284C	52
YDR050C	6358
YDL010W	3
YDL065C	9
YDR349C	53
YDL098C	2
YDL234C	10
YDR118W	10
YDR118W-A	0
YDR159W	18
YDR111C	30
YDR128W	21
YDL034W	0
YDR065W	5
YDL004W	29
YDR024W	11
YDL171C	900
YDR083W	13
YDR457W	221
YDR014W	4
YDR206W	42
YDR478W	3
YDR169C	1
YDR115W	10
YDL159W-A	0
YDL232W	2
YDL240C-A	0
tE(CUC)D	0
YDL152W	0
YDR432W	13
YDL022C-A	0
YDL114W-A	0
YDR410C	70
YDR464C-A	0
YDL072C	49
YDR053W	0
YDL012C	0
YDR482C	1
YDL070W	55
YDR064W	1642
YDL135C	12
YDL077C	16
YDR354C-A	6
YDL033C	12
YDL031W	42
YDR398W	54
YDR326C	17
YDL052C	25
YDR536W	0
YDR397C	9
YDL116W	59
YDR028C	51
YDL007W	64
YDR236C	23
YDR011W	149
YDR155C	360
YDR414C	16
YDR026C	5
YDL073W	27
tY(GUA)D	2
YDL115C	5
YDL145C	284
YDR203W	0
YDL104C	2
YDL149W	3
YDR231C	5
YDR045C	18
YDL075W	285
YDR415C	13
YDR339C	15
YDL213C	16
YDR096W	1
YDL019C	59
YDL022W	10
YDR413C	0
YDR391C	7
YDR091C	239
YDR240C	13
YDL244W	0
YDR179C	1
YDL165W	20
YDL140C	300
YDR120C	58
YDR003W	4
YDR499W	4
YDR166C	15
YDL092W	8
YDL041W	0
YDL241W	1
YDL082W	578
YDR277C	1
YDR291W	51
YDR475C	5
YDR244W	9
YDR407C	34
YDR382W	3355
YDR102C	0
YDL188C	58
YDR405W	0
YDR443C	24
YDR059C	2
YDR144C	87
YDL157C	17
YDL058W	51
YDL096C	8
YDL155W	18
YDR147W	14
YDL191W	696
YDL128W	39
YDR310C	15
YDL160C-A	2
YDR127W	430
YDR497C	294
YDL162C	0
tS(AGA)D3	0
YDR201W	4
YDR163W	1
YDL146W	7
YDR363W-A	15
YDL221W	1
YDL089W	17
YDR385W	4876
YDR331W	26
YDR196C	13
YDR116C	11
YDR001C	41
YDL230W	6
YDR160W	8
YDR123C	1
YDR322W	16
YDR040C	182
YDR025W	238
YDR046C	122
YDL057W	5
YDL248W	14
YDR008C	0
YDR029W	0
YDR485C	5
YDR408C	58
YDR038C	162
YDL204W	2
YDR019C	54
YDR477W	14
YDR254W	2
YDR514C	12
YDR296W	8
YDL216C	4
YDL100C	322
YDL068W	1
YDL026W	0
YDL124W	12
YDL227C	42
YDL111C	41
YDR324C	77
YDL170W	10
YDR317W	3
YDR436W	7
YDR208W	30
YDR386W	10
YDR504C	4
YDL220C	4
YDR396W	5
YDR258C	19
YDR176W	3
YDL099W	9
YDR380W	15
YDL110C	9
YDR148C	82
YDL201W	22
YDL107W	2
YDR515W	5
YDR133C	15
YDR378C	36
YDR473C	5
YDR403W	1
YDR268W	31
YDR409W	2
YDR173C	12
YDR187C	8
YDR389W	8
YDR417C	25
