gene_id	M1_DESeq2_log2FC	M1_MACS3_log2FC	M1_TSS_coverage
YOR293W	3.9651020361386	-0.909988016985826	275
YPL079W	3.35100965548849	-1.02452316018618	208
Q0158	3.24135221058781	2.29403640398126	4023
YBR189W	2.62393425926134	-0.920174722318718	422
YLR180W	2.57586025123002	-1.16654343788393	898
YAL035W	2.39221117826597	-0.90499447507289	156
YDL100C	2.241667586431	-0.670135897266652	699
YLR197W	2.05506171237524	-0.939724709092281	715
YML012W	2.04380434185825	-1.36497464507399	544
YJR145C	1.93768038080067	-0.653074570001646	1692
YKR043C	1.92114835748623	-0.698653261046131	417
YKL096W-A	1.69178283511258	1.87412756552218	694
YPL117C	1.62202677572224	-0.894020846326957	340
YGL245W	1.59992918449026	-1.12343984585065	565
YDL191W	1.48769116799025	-1.20081260129178	253
YOL143C	1.36966367458551	-0.574630368150072	1705
YGR106C	1.32179060564653	-1.24823049650725	528
YMR205C	1.31913880229775	-0.97628426576699	255
YJL138C	1.2866118494028	-1.04741385034079	1336
YGR159C	1.18658914454056	-1.02013129195419	967
Q0160	1.15919886039771	2.40401607449411	8590
YJL052W	1.14419315148061	-0.897070639073735	353
YJL189W	1.12935270839432	-0.770771274752037	660
YBL039C-A	1.10342159637832	-1.04129210955207	1084
YAL005C	1.08455997476916	-0.775558059141923	1100
YIL018W	1.07258951141542	-1.21525309474056	901
YLR339C	1.07184577625556	1.9400047858697	5767
YML026C	1.03597241097101	-0.928813973158635	215
YJR007W	1.00717939603042	1.65780974531746	418
YDR224C	-1.00376525484447	2.22116417278318	913
YPL160W	-1.09756462481186	-0.76704746665115	431
YDR382W	-1.25864624535925	-1.48438237096377	5658
YLR076C	-1.27417245886126	-0.642732368258361	20132
YAR002C-A	-1.40835155262822	-1.58474793008496	385
YBR191W	-1.4768993170945	-0.81916431911695	787
YFL045C	-1.54826351531572	-1.22699521273	1287
YHR193C	-1.6067846423926	0.914605092502826	2333
YDR037W	-2.0127275866794	-1.16504864335369	485
YPL143W	-2.0421496282026	-0.899165154293731	49
YPL131W	-2.05514211486458	-0.668141372755733	4808
YDR346C	-2.07045738145932	-0.745438737293272	320
YKL192C	-2.14071811340544	1.95435014317699	249
YNL209W	-2.15767474089561	-1.34992626821017	2487
YMR012W	-2.25061912466915	-0.70036643507132	342
YIL051C	-2.44599972023178	0.671729905326425	1465
YPR035W	-4.80143919400993	-1.13441039310877	1043
