Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IN2.bam
YDL246C	1
YDL243C	18
YDR387C	42
YDL094C	2
YDR438W	30
YDR523C	3
YDR542W	1
YDR492W	34
YDR018C	4
YDL189W	58
YDR508C	61
YDR462W	12
YDR175C	56
YDR186C	77
YDR150W	418
YDR243C	83
YDL182W	54
YDR362C	54
YDR232W	36
YDR158W	991
YDR439W	5
YDL206W	17
YDR125C	16
YDR338C	49
YDR526C	2
YDR533C	20
YDR272W	172
YDR197W	18
YDR512C	22
YDR489W	10
YDR299W	117
YDL015C	383
YDR304C	271
YDR271C	0
YDL181W	8
YDR367W	8
YDR085C	6
YDL097C	355
YDL139C	7
YDR200C	40
YDR191W	10
YDR451C	43
YDR469W	39
YDR470C	7
YDR105C	89
YDR483W	414
YDL123W	1
YDL199C	12
YDR505C	180
YDL045W-A	34
YDL045C	73
YDR361C	191
YDR406W-A	0
YDR199W	0
YDR266C	128
YDL242W	0
YDR002W	989
YDR214W	200
YDR130C	52
YDL176W	16
YDR358W	64
YDR544C	0
YDR460W	39
snR84	2674
YDR034W-B	0
YDL028C	56
YDR061W	122
YDR060W	1088
YDR169C-A	0
YDR363W	44
YDR422C	83
YDR119W	596
tR(ACG)D	0
YDR097C	125
YDR042C	5
YDL160C	78
YDR425W	4
snR13	39
YDR228C	22
YDR319C	39
YDR471W	706
YDR089W	58
tD(GUC)D	0
YDR275W	43
YDR043C	7
YDR129C	1082
YDR136C	1
YDL066W	823
YDR302W	91
YDR239C	24
YDR539W	106
tK(CUU)D1	0
YDL125C	133
YDR493W	21
YDR101C	454
YDR182W-A	1
YDR212W	992
YDR476C	5
YDL131W	39
YDR458C	60
YDR081C	90
YDL071C	1
YDR113C	19
YDR168W	318
YDR520C	57
YDR307W	58
YDR265W	40
YDL076C	28
YDL006W	88
YDL086W	59
YDR238C	573
YDR077W	22
YDR381C-A	29
YDL023C	1
YDL083C	347
YDR036C	42
YDR057W	46
YDR513W	103
YDR487C	252
YDR066C	5
YDR352W	26
YDR278C	0
YDR079C-A	9
YDR204W	47
YDL247W-A	2
YDL024C	0
tA(AGC)D	0
YDR109C	50
YDR466W	38
YDR427W	458
YDL044C	21
YDL079C	4
YDR193W	0
YDR305C	45
YDR377W	101
YDR219C	64
YDR416W	137
YDR365C	493
YDL233W	8
YDR287W	52
YDR448W	70
YDR180W	170
tF(GAA)D	0
tT(AGU)D	1
YDR294C	219
YDR198C	51
YDL163W	1
YDL119C	40
YDR501W	6
YDL214C	5
YDR264C	260
YDR343C	142
YDR373W	117
YDR354W	81
YDR246W	13
YDR428C	44
YDR157W	1
YDR316W	35
YDL142C	30
YDR253C	1
YDL112W	461
YDR545W	77
YDL187C	3
YDL138W	47
YDR528W	5
YDR284C	150
YDR050C	5260
YDL010W	38
YDL065C	65
YDR349C	67
YDL098C	25
YDL234C	127
YDR118W	20
YDR118W-A	0
YDR159W	105
YDR111C	114
YDR128W	82
YDL034W	0
YDR065W	37
YDL004W	106
YDR024W	36
YDL171C	1854
YDR083W	79
YDR457W	771
YDR014W	42
YDR206W	143
YDR478W	22
YDR169C	3
YDR115W	21
YDL159W-A	0
YDL232W	4
YDL240C-A	0
tE(CUC)D	0
YDL152W	2
YDR432W	15
YDL022C-A	0
YDL114W-A	0
YDR410C	57
YDR464C-A	0
YDL072C	88
YDR053W	1
YDL012C	5
YDR482C	23
YDL070W	254
YDR064W	1113
YDL135C	108
YDL077C	65
YDR354C-A	3
YDL033C	25
YDL031W	285
YDR398W	237
YDR326C	176
YDL052C	34
