Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IP1.bam
YDL246C	1
YDL243C	2
YDR387C	6
YDL094C	1
YDR438W	7
YDR523C	0
YDR542W	0
YDR492W	13
YDR018C	0
YDL189W	17
YDR508C	16
YDR462W	12
YDR175C	13
YDR186C	12
YDR150W	26
YDR243C	8
YDL182W	41
YDR362C	7
YDR232W	30
YDR158W	469
YDR439W	3
YDL206W	0
YDR125C	0
YDR338C	8
YDR526C	2
YDR533C	8
YDR272W	32
YDR197W	8
YDR512C	4
YDR489W	5
YDR299W	24
YDL015C	62
YDR304C	87
YDR271C	0
YDL181W	2
YDR367W	13
YDR085C	5
YDL097C	143
YDL139C	7
YDR200C	13
YDR191W	2
YDR451C	6
YDR469W	5
YDR470C	8
YDR105C	10
YDR483W	43
YDL123W	1
YDL199C	3
YDR505C	23
YDL045W-A	13
YDL045C	7
YDR361C	54
YDR406W-A	0
YDR199W	0
YDR266C	38
YDL242W	0
YDR002W	335
YDR214W	69
YDR130C	11
YDL176W	10
YDR358W	7
YDR544C	0
YDR460W	5
snR84	562
YDR034W-B	0
YDL028C	14
YDR061W	11
YDR060W	66
YDR169C-A	0
YDR363W	7
YDR422C	11
YDR119W	24
tR(ACG)D	0
YDR097C	25
YDR042C	2
YDL160C	75
YDR425W	4
snR13	24
YDR228C	7
YDR319C	1
YDR471W	542
YDR089W	13
tD(GUC)D	1
YDR275W	4
YDR043C	4
YDR129C	93
YDR136C	0
YDL066W	247
YDR302W	21
YDR239C	10
YDR539W	24
tK(CUU)D1	1
YDL125C	110
YDR493W	7
YDR101C	81
YDR182W-A	0
YDR212W	170
YDR476C	20
YDL131W	44
YDR458C	6
YDR081C	10
YDL071C	0
YDR113C	9
YDR168W	35
YDR520C	6
YDR307W	3
YDR265W	8
YDL076C	20
YDL006W	13
YDL086W	82
YDR238C	103
YDR077W	7
YDR381C-A	9
YDL023C	5
YDL083C	597
YDR036C	19
YDR057W	4
YDR513W	27
YDR487C	97
YDR066C	2
YDR352W	12
YDR278C	0
YDR079C-A	1
YDR204W	18
YDL247W-A	0
YDL024C	0
tA(AGC)D	0
YDR109C	6
YDR466W	5
YDR427W	96
YDL044C	6
YDL079C	0
YDR193W	0
YDR305C	21
YDR377W	53
YDR219C	12
YDR416W	11
YDR365C	68
YDL233W	3
YDR287W	11
YDR448W	15
YDR180W	12
tF(GAA)D	0
tT(AGU)D	0
YDR294C	13
YDR198C	10
YDL163W	1
YDL119C	11
YDR501W	3
YDL214C	0
YDR264C	19
YDR343C	7
YDR373W	30
YDR354W	41
YDR246W	12
YDR428C	37
YDR157W	2
YDR316W	5
YDL142C	9
YDR253C	0
YDL112W	73
YDR545W	22
YDL187C	1
YDL138W	5
YDR528W	10
YDR284C	16
YDR050C	3762
YDL010W	4
YDL065C	7
YDR349C	20
YDL098C	5
YDL234C	8
YDR118W	4
YDR118W-A	0
YDR159W	14
YDR111C	30
YDR128W	12
YDL034W	0
YDR065W	4
YDL004W	78
YDR024W	6
YDL171C	517
YDR083W	24
YDR457W	88
YDR014W	3
YDR206W	17
YDR478W	7
YDR169C	3
YDR115W	16
YDL159W-A	0
YDL232W	0
YDL240C-A	0
tE(CUC)D	0
YDL152W	0
YDR432W	16
YDL022C-A	0
YDL114W-A	1
YDR410C	18
YDR464C-A	0
YDL072C	15
YDR053W	0
YDL012C	10
YDR482C	3
YDL070W	88
YDR064W	1501
YDL135C	53
YDL077C	10
YDR354C-A	0
YDL033C	7
YDL031W	38
YDR398W	40
YDR326C	15
YDL052C	19
YDR536W	1
YDR397C	24
YDL116W	31
YDR028C	22
YDL007W	69
YDR236C	24
YDR011W	19
YDR155C	241
YDR414C	4
YDR026C	5
YDL073W	26
tY(GUA)D	0
YDL115C	8
YDL145C	167
YDR203W	1
YDL104C	1
YDL149W	5
YDR231C	11
YDR045C	39
YDL075W	630
YDR415C	0
YDR339C	41
YDL213C	44
YDR096W	4
YDL019C	22
YDL022W	41
YDR413C	3
YDR391C	10
YDR091C	99
YDR240C	8
YDL244W	0
YDR179C	1
YDL165W	38
YDL140C	280
YDR120C	46
YDR003W	6
YDR499W	7
YDR166C	17
YDL092W	35
YDL041W	0
YDL241W	14
YDL082W	1045
YDR277C	7
YDR291W	16
YDR475C	9
YDR244W	11
YDR407C	23
YDR382W	1105
YDR102C	0
YDL188C	66
YDR405W	6
YDR443C	9
YDR059C	10
YDR144C	16
YDL157C	31
YDL058W	29
YDL096C	1
YDL155W	16
YDR147W	23
YDL191W	471
YDL128W	5
YDR310C	14
YDL160C-A	3
YDR127W	184
YDR497C	36
YDL162C	0
tS(AGA)D3	0
YDR201W	5
YDR163W	1
YDL146W	21
YDR363W-A	36
YDL221W	0
YDL089W	5
YDR385W	1577
YDR331W	19
YDR196C	27
YDR116C	30
YDR001C	25
YDL230W	11
YDR160W	9
YDR123C	4
YDR322W	23
YDR040C	15
YDR025W	912
YDR046C	36
YDL057W	3
YDL248W	4
YDR008C	0
YDR029W	1
YDR485C	6
YDR408C	46
YDR038C	21
YDL204W	1
YDR019C	18
YDR477W	25
YDR254W	8
YDR514C	7
YDR296W	21
YDL216C	2
YDL100C	333
YDL068W	0
YDL026W	0
YDL124W	37
YDL227C	25
YDL111C	93
YDR324C	63
YDL170W	15
YDR317W	2
YDR436W	3
YDR208W	30
YDR386W	5
YDR504C	1
YDL220C	5
YDR396W	0
YDR258C	21
YDR176W	21
YDL099W	5
YDR380W	14
YDL110C	11
YDR148C	75
YDL201W	46
YDL107W	2
YDR515W	3
YDR133C	72
YDR378C	14
YDR473C	3
YDR403W	0
YDR268W	14
YDR409W	10
YDR173C	6
YDR187C	5
YDR389W	17
YDR417C	35
YDR165W	53
YDL113C	12
YDR426C	1
YDR521W	0
YDR086C	62
YDL021W	1
YDR023W	371
YDR394W	80
YDR320C-A	6
YDR003W-A	2
YDR183W	9
YDR245W	14
YDR431W	0
YDL154W	1
YDL184C	20
YDR153C	13
YDR014W-A	1
YDR434W	22
YDL002C	14
YDR225W	516
YDR418W	1736
