Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN2.bam
YDL246C	3
YDL243C	9
YDR387C	30
YDL094C	0
YDR438W	15
YDR523C	2
YDR542W	0
YDR492W	10
YDR018C	1
YDL189W	10
YDR508C	32
YDR462W	5
YDR175C	33
YDR186C	30
YDR150W	55
YDR243C	8
YDL182W	27
YDR362C	7
YDR232W	19
YDR158W	1163
YDR439W	4
YDL206W	3
YDR125C	4
YDR338C	20
YDR526C	0
YDR533C	8
YDR272W	35
YDR197W	11
YDR512C	5
YDR489W	9
YDR299W	18
YDL015C	240
YDR304C	174
YDR271C	0
YDL181W	3
YDR367W	5
YDR085C	7
YDL097C	157
YDL139C	1
YDR200C	15
YDR191W	10
YDR451C	22
YDR469W	15
YDR470C	5
YDR105C	58
YDR483W	263
YDL123W	0
YDL199C	2
YDR505C	29
YDL045W-A	18
YDL045C	42
YDR361C	73
YDR406W-A	0
YDR199W	0
YDR266C	48
YDL242W	0
YDR002W	483
YDR214W	124
YDR130C	9
YDL176W	5
YDR358W	25
YDR544C	0
YDR460W	3
snR84	6561
YDR034W-B	0
YDL028C	10
YDR061W	44
YDR060W	103
YDR169C-A	0
YDR363W	5
YDR422C	33
YDR119W	226
tR(ACG)D	0
YDR097C	38
YDR042C	1
YDL160C	33
YDR425W	7
snR13	17
YDR228C	13
YDR319C	21
YDR471W	556
YDR089W	16
tD(GUC)D	0
YDR275W	16
YDR043C	3
YDR129C	361
YDR136C	0
YDL066W	671
YDR302W	62
YDR239C	6
YDR539W	71
tK(CUU)D1	0
YDL125C	88
YDR493W	9
YDR101C	237
YDR182W-A	0
YDR212W	614
YDR476C	4
YDL131W	37
YDR458C	18
YDR081C	21
YDL071C	1
YDR113C	6
YDR168W	131
YDR520C	15
YDR307W	30
YDR265W	15
YDL076C	14
YDL006W	26
YDL086W	41
YDR238C	233
YDR077W	3
YDR381C-A	14
YDL023C	0
YDL083C	350
YDR036C	24
YDR057W	13
YDR513W	46
YDR487C	185
YDR066C	6
YDR352W	27
YDR278C	0
YDR079C-A	2
YDR204W	24
YDL247W-A	0
YDL024C	0
tA(AGC)D	0
YDR109C	18
YDR466W	6
YDR427W	251
YDL044C	1
YDL079C	0
YDR193W	0
YDR305C	23
YDR377W	80
YDR219C	22
YDR416W	19
YDR365C	22
YDL233W	5
YDR287W	7
YDR448W	25
YDR180W	47
tF(GAA)D	0
tT(AGU)D	0
YDR294C	91
YDR198C	29
YDL163W	0
YDL119C	17
YDR501W	1
YDL214C	0
YDR264C	95
YDR343C	93
YDR373W	68
YDR354W	46
YDR246W	4
YDR428C	22
YDR157W	0
YDR316W	2
YDL142C	20
YDR253C	0
YDL112W	126
YDR545W	37
YDL187C	2
YDL138W	18
YDR528W	1
YDR284C	89
YDR050C	6247
YDL010W	6
YDL065C	3
YDR349C	34
YDL098C	9
YDL234C	34
YDR118W	10
YDR118W-A	0
YDR159W	26
YDR111C	70
YDR128W	15
YDL034W	0
YDR065W	8
YDL004W	39
YDR024W	15
YDL171C	849
YDR083W	21
YDR457W	127
YDR014W	16
YDR206W	50
YDR478W	5
YDR169C	0
YDR115W	9
YDL159W-A	0
YDL232W	0
YDL240C-A	0
tE(CUC)D	0
YDL152W	0
YDR432W	9
YDL022C-A	0
YDL114W-A	0
YDR410C	70
YDR464C-A	0
YDL072C	36
YDR053W	0
YDL012C	2
YDR482C	4
YDL070W	110
YDR064W	1290
YDL135C	58
YDL077C	18
YDR354C-A	1
YDL033C	20
YDL031W	41
YDR398W	79
YDR326C	37
YDL052C	28
YDR536W	0
YDR397C	21
YDL116W	130
YDR028C	34
YDL007W	118
YDR236C	25
YDR011W	115
YDR155C	142
YDR414C	23
YDR026C	7
YDL073W	39
tY(GUA)D	0
YDL115C	5
YDL145C	184
YDR203W	0
YDL104C	8
YDL149W	14
YDR231C	7
YDR045C	52
YDL075W	646
YDR415C	16
YDR339C	52
YDL213C	19
YDR096W	3
YDL019C	43
YDL022W	11
YDR413C	0
YDR391C	10
YDR091C	378
YDR240C	34
YDL244W	0
YDR179C	4
YDL165W	59
YDL140C	139
YDR120C	90
YDR003W	6
YDR499W	10
YDR166C	29
YDL092W	42
YDL041W	1
YDL241W	4
YDL082W	503
YDR277C	3
YDR291W	56
YDR475C	0
YDR244W	19
YDR407C	34
YDR382W	2659
YDR102C	0
YDL188C	45
YDR405W	0
YDR443C	18
YDR059C	4
YDR144C	80
YDL157C	55
YDL058W	32
YDL096C	9
YDL155W	25
YDR147W	28
YDL191W	800
YDL128W	49
YDR310C	10
YDL160C-A	4
YDR127W	335
YDR497C	292
YDL162C	0
tS(AGA)D3	0
YDR201W	6
YDR163W	2
YDL146W	19
YDR363W-A	52
YDL221W	0
YDL089W	14
YDR385W	6599
YDR331W	88
YDR196C	27
YDR116C	16
YDR001C	33
YDL230W	11
YDR160W	8
YDR123C	6
YDR322W	23
YDR040C	134
YDR025W	184
YDR046C	139
YDL057W	4
YDL248W	22
YDR008C	0
YDR029W	0
YDR485C	5
YDR408C	72
YDR038C	106
YDL204W	5
YDR019C	53
YDR477W	21
YDR254W	5
YDR514C	15
YDR296W	5
YDL216C	6
YDL100C	499
YDL068W	0
YDL026W	0
YDL124W	15
YDL227C	49
YDL111C	25
YDR324C	129
