Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IP2.bam
YDL246C	1
YDL243C	7
YDR387C	20
YDL094C	1
YDR438W	10
YDR523C	0
YDR542W	0
YDR492W	36
YDR018C	4
YDL189W	46
YDR508C	47
YDR462W	19
YDR175C	19
YDR186C	53
YDR150W	87
YDR243C	15
YDL182W	73
YDR362C	16
YDR232W	118
YDR158W	611
YDR439W	14
YDL206W	8
YDR125C	4
YDR338C	14
YDR526C	1
YDR533C	23
YDR272W	28
YDR197W	16
YDR512C	7
YDR489W	15
YDR299W	45
YDL015C	135
YDR304C	156
YDR271C	0
YDL181W	7
YDR367W	26
YDR085C	12
YDL097C	174
YDL139C	1
YDR200C	15
YDR191W	7
YDR451C	29
YDR469W	14
YDR470C	20
YDR105C	8
YDR483W	65
YDL123W	4
YDL199C	5
YDR505C	49
YDL045W-A	25
YDL045C	15
YDR361C	60
YDR406W-A	0
YDR199W	1
YDR266C	88
YDL242W	0
YDR002W	323
YDR214W	78
YDR130C	17
YDL176W	24
YDR358W	13
YDR544C	0
YDR460W	12
snR84	719
YDR034W-B	1
YDL028C	30
YDR061W	20
YDR060W	170
YDR169C-A	0
YDR363W	14
YDR422C	26
YDR119W	68
tR(ACG)D	0
YDR097C	50
YDR042C	0
YDL160C	169
YDR425W	23
snR13	74
YDR228C	27
YDR319C	7
YDR471W	937
YDR089W	31
tD(GUC)D	1
YDR275W	12
YDR043C	8
YDR129C	155
YDR136C	0
YDL066W	398
YDR302W	30
YDR239C	19
YDR539W	33
tK(CUU)D1	0
YDL125C	186
YDR493W	11
YDR101C	165
YDR182W-A	0
YDR212W	238
YDR476C	35
YDL131W	85
YDR458C	16
YDR081C	48
YDL071C	0
YDR113C	12
YDR168W	78
YDR520C	22
YDR307W	11
YDR265W	7
YDL076C	21
YDL006W	15
YDL086W	77
YDR238C	247
YDR077W	128
YDR381C-A	5
YDL023C	3
YDL083C	1355
YDR036C	53
YDR057W	13
YDR513W	51
YDR487C	164
YDR066C	6
YDR352W	19
YDR278C	0
YDR079C-A	5
YDR204W	12
YDL247W-A	0
YDL024C	1
tA(AGC)D	0
YDR109C	7
YDR466W	32
YDR427W	123
YDL044C	10
YDL079C	3
YDR193W	0
YDR305C	23
YDR377W	69
YDR219C	25
YDR416W	12
YDR365C	165
YDL233W	16
YDR287W	14
YDR448W	25
YDR180W	31
tF(GAA)D	0
tT(AGU)D	0
YDR294C	42
YDR198C	20
YDL163W	1
YDL119C	11
YDR501W	13
YDL214C	4
YDR264C	40
YDR343C	17
YDR373W	47
YDR354W	70
YDR246W	10
YDR428C	41
YDR157W	8
YDR316W	8
YDL142C	12
YDR253C	4
YDL112W	119
YDR545W	44
YDL187C	1
YDL138W	22
YDR528W	30
YDR284C	30
YDR050C	4921
YDL010W	5
YDL065C	17
YDR349C	55
YDL098C	9
YDL234C	29
YDR118W	11
YDR118W-A	0
YDR159W	34
YDR111C	29
YDR128W	25
YDL034W	0
YDR065W	10
YDL004W	141
YDR024W	9
YDL171C	867
YDR083W	52
YDR457W	182
YDR014W	19
YDR206W	41
YDR478W	15
YDR169C	13
YDR115W	21
YDL159W-A	0
YDL232W	3
YDL240C-A	0
tE(CUC)D	0
YDL152W	0
YDR432W	57
YDL022C-A	0
YDL114W-A	0
YDR410C	15
YDR464C-A	0
YDL072C	28
YDR053W	0
YDL012C	31
YDR482C	4
YDL070W	197
YDR064W	2822
YDL135C	71
YDL077C	24
YDR354C-A	1
YDL033C	14
YDL031W	81
YDR398W	89
YDR326C	63
YDL052C	33
YDR536W	0
YDR397C	42
YDL116W	75
YDR028C	69
YDL007W	69
YDR236C	22
YDR011W	83
YDR155C	552
YDR414C	16
YDR026C	24
YDL073W	38
tY(GUA)D	0
YDL115C	10
YDL145C	415
YDR203W	0
YDL104C	7
YDL149W	7
YDR231C	8
YDR045C	32
YDL075W	907
YDR415C	6
YDR339C	65
YDL213C	45
YDR096W	19
YDL019C	52
YDL022W	80
YDR413C	3
YDR391C	13
YDR091C	238
YDR240C	20
YDL244W	1
YDR179C	1
YDL165W	59
YDL140C	602
YDR120C	94
YDR003W	8
YDR499W	14
YDR166C	39
YDL092W	50
YDL041W	1
YDL241W	10
YDL082W	1483
YDR277C	8
YDR291W	30
YDR475C	18
YDR244W	17
YDR407C	55
YDR382W	1367
YDR102C	0
YDL188C	111
YDR405W	13
YDR443C	31
YDR059C	9
YDR144C	37
YDL157C	54
YDL058W	76
YDL096C	2
YDL155W	34
YDR147W	22
YDL191W	764
YDL128W	29
YDR310C	26
YDL160C-A	10
YDR127W	358
YDR497C	109
YDL162C	1
tS(AGA)D3	0
YDR201W	7
YDR163W	8
YDL146W	21
YDR363W-A	35
YDL221W	0
YDL089W	14
YDR385W	3310
YDR331W	35
YDR196C	35
YDR116C	35
YDR001C	68
YDL230W	15
YDR160W	12
YDR123C	11
YDR322W	29
YDR040C	39
YDR025W	1988
YDR046C	68
YDL057W	5
YDL248W	15
YDR008C	0
YDR029W	0
YDR485C	23
YDR408C	62
YDR038C	36
YDL204W	6
YDR019C	31
YDR477W	63
YDR254W	8
YDR514C	14
YDR296W	23
YDL216C	12
YDL100C	446
YDL068W	0
YDL026W	0
YDL124W	68
YDL227C	27
YDL111C	168
YDR324C	99
YDL170W	20
YDR317W	4
YDR436W	12
YDR208W	63
YDR386W	7
YDR504C	8
YDL220C	9
YDR396W	0
YDR258C	66
YDR176W	27
YDL099W	20
YDR380W	24
YDL110C	14
YDR148C	116
YDL201W	65
YDL107W	4
YDR515W	17
YDR133C	284
YDR378C	20
YDR473C	8
YDR403W	3
YDR268W	19
YDR409W	8
YDR173C	11
YDR187C	1
YDR389W	47
YDR417C	20
YDR165W	134
YDL113C	27
YDR426C	0
YDR521W	0
YDR086C	121
YDL021W	1
YDR023W	494
YDR394W	157
YDR320C-A	6
YDR003W-A	1
YDR183W	10
YDR245W	24
YDR431W	0
YDL154W	8
YDL184C	26
YDR153C	31
YDR014W-A	0
YDR434W	35
YDL002C	7
YDR225W	643
YDR418W	3182
YDR224C	473
YDR502C	122
YDR447C	1502
YDL039C	27
YDL225W	45
YDR259C	2
YDR495C	23
YDL151C	0
YDR357C	12
YDR370C	40
YDR298C	186
YDR276C	105
YDL185C-A	2
YDR545C-A	0
tM(CAU)D	0
YDL247W	1
YDR406W	19
YDR273W	2
YDR269C	0
YDR453C	7
YDR383C	2
YDR375C	25
YDL161W	21
YDL051W	271
YDR084C	29
YDL056W	27
YDR344C	2
YDR320C	20
YDR221W	8
tI(AAU)D	0
YDL032W	0
YDR456W	26
YDL036C	27
tL(CAA)D	0
YDL217C	19
snR63	3138
YDR334W	45
YDL049C	10
YDL164C	44
YDR384C	61
YDR149C	1
YDR093W	42
YDR071C	149
YDL143W	197
YDR032C	55
tR(UCU)D	0
YDR063W	40
YDL166C	23
YDR004W	21
YDR151C	37
YDR037W	727
YDL175C	26
YDR286C	5
YDR172W	319
YDL174C	38
YDR080W	28
YDR503C	7
YDR069C	19
YDR047W	43
YDR215C	0
YDR267C	16
YDR142C	24
YDL212W	55
YDR249C	21
YDL209C	9
YDR044W	92
tK(UUU)D	0
YDR311W	26
YDL159C-B	0
YDR222W	15
YDR510C-A	4
YDR401W	3
YDR207C	10
YDL005C	22
YDR295C	14
YDR543C	0
YDL208W	147
YDR135C	77
YDL114W	0
YDR247W	11
YDL197C	13
YDR229W	13
YDR095C	0
YDR027C	30
YDL106C	19
YDR404C	80
YDR256C	2
YDR518W	24
YDR055W	59
YDL087C	12
YDR177W	63
YDL014W	364
YDR289C	11
YDL159W	17
YDR532C	15
YDR137W	34
YDL153C	35
YDR393W	7
YDR506C	0
YDL219W	49
YDL090C	22
YDR033W	506
YDR035W	177
YDR332W	10
YDR510W	119
YDL055C	1508
YDR480W	15
YDL103C	49
YDL085C-A	7
YDR350C	25
