chrom	start	end	name	score	strand	Gene_id	Biotype	IP1	IN1	IP2	IN2	IP3	IN3
I	131638	132009	.	.	.	YAL012W	protein_coding	38	4	123	2	43	16
I	140597	141412	.	.	.	YAL004W	protein_coding	469	609	1176	356	515	972
I	140597	141412	.	.	.	YAL005C	protein_coding	469	609	1176	356	515	972
I	142578	143349	.	.	.	YAL003W	protein_coding	1419	1794	3379	1445	1852	2071
I	154242	154564	.	.	.	YAR002C-A	protein_coding	57	94	162	203	103	242
I	52019	52224	.	.	.	YAL049C	protein_coding	21	18	56	34	34	24
I	71845	72607	.	.	.	YAL037C-B	protein_coding	3025	6058	7389	4386	3750	3588
I	71845	72607	.	.	.	YAL038W	protein_coding	3025	6058	7389	4386	3750	3588
I	72686	72840	.	.	.	YAL037C-B	protein_coding	358	625	1043	496	844	413
I	72686	72840	.	.	.	YAL038W	protein_coding	358	625	1043	496	844	413
I	73012	73420	.	.	.	YAL037C-B	protein_coding	673	215	1825	189	990	342
I	73012	73420	.	.	.	YAL038W	protein_coding	673	215	1825	189	990	342
I	78747	79058	.	.	.	YAL035W	protein_coding	31	44	98	46	33	61
II	141314	141997	.	.	.	YBL041W	protein_coding	169	119	336	185	151	98
II	144883	145690	.	.	.	YBL039C	protein_coding	260	250	497	472	193	301
II	144883	145690	.	.	.	YBL039C-A	protein_coding	260	250	497	472	193	301
II	161012	161356	.	.	.	YBL032W	protein_coding	39	14	93	14	59	10
II	163068	163373	.	.	.	YBL030C	protein_coding	39	22	131	23	110	59
II	168822	169453	.	.	.	YBL027W	protein_coding	2601	1216	5316	2233	1564	2050
II	235276	235786	.	.	.	YBL003C	protein_coding	434	419	994	719	301	248
II	236557	237124	.	.	.	YBL002W	protein_coding	151	79	423	89	182	96
II	255308	255660	.	.	.	YBR009C	protein_coding	322	455	799	548	363	259
II	256371	256819	.	.	.	YBR010W	protein_coding	533	508	1158	862	559	238
II	257068	257948	.	.	.	YBR011C	protein_coding	565	496	1349	540	818	971
II	290476	291830	.	.	.	YBR025C	protein_coding	516	657	1240	1162	709	879
II	300191	301256	.	.	.	YBR031W	protein_coding	1395	1206	3269	705	2057	2240
II	306239	306888	.	.	.	YBR035C	protein_coding	113	83	285	120	144	189
II	315874	316594	.	.	.	YBR039W	protein_coding	105	79	243	134	123	95
II	333312	334028	.	.	.	YBR048W	protein_coding	699	133	1685	151	475	234
II	338716	339223	.	.	.	YBR052C	protein_coding	84	51	155	44	55	56
II	356223	356488	.	.	.	YBR058C-A	protein_coding	47	35	101	48	34	24
II	37193	37967	.	.	.	YBL099W	protein_coding	146	105	304	112	188	183
II	37193	37967	.	.	.	YBL100C	protein_coding	146	105	304	112	188	183
II	372453	372679	.	.	.	YBR067C	protein_coding	34	11	87	8	40	20
II	38037	38711	.	.	.	YBL099W	protein_coding	86	119	238	116	123	152
II	393328	394220	.	.	.	YBR078W	protein_coding	103	75	336	59	166	167
II	394556	394750	.	.	.	YBR078W	protein_coding	27	32	174	30	119	102
II	406488	407061	.	.	.	YBR082C	protein_coding	115	63	363	87	174	45
