chrom	start	end	name	score	strand	Gene_id	Biotype	IP1	IN1	IP2	IN2	IP3	IN3
I	140676	141083	.	.	.	YAL004W	protein_coding	351	228	711	212	369	178
I	140676	141083	.	.	.	YAL005C	protein_coding	351	228	711	212	369	178
I	142536	143303	.	.	.	YAL003W	protein_coding	2136	1086	6241	1100	2816	1262
I	169386	169666	.	.	.	YAR015W	protein_coding	119	71	156	66	71	41
I	71806	72103	.	.	.	YAL038W	protein_coding	1343	1201	2567	1489	1032	1726
I	72982	73384	.	.	.	YAL037C-B	protein_coding	638	209	872	264	357	246
I	72982	73384	.	.	.	YAL038W	protein_coding	638	209	872	264	357	246
II	141336	141493	.	.	.	YBL041W	protein_coding	91	80	125	96	49	73
II	168847	169052	.	.	.	YBL027W	protein_coding	1375	1154	3316	1142	1382	991
II	236500	237007	.	.	.	YBL002W	protein_coding	312	107	382	83	206	85
II	256331	256578	.	.	.	YBR010W	protein_coding	549	537	1025	468	363	376
II	257094	257966	.	.	.	YBR011C	protein_coding	1659	618	2427	607	1123	648
II	300123	301332	.	.	.	YBR031W	protein_coding	2875	444	4967	540	2305	545
II	306350	306686	.	.	.	YBR035C	protein_coding	130	86	249	100	103	87
II	315644	315794	.	.	.	YBR039W	protein_coding	61	36	100	53	50	52
II	315895	316334	.	.	.	YBR039W	protein_coding	190	144	300	125	110	145
II	333303	334002	.	.	.	YBR048W	protein_coding	1172	180	995	182	670	163
II	338756	338909	.	.	.	YBR052C	protein_coding	63	35	102	23	65	18
II	338980	339210	.	.	.	YBR052C	protein_coding	85	43	128	41	76	34
II	393448	394802	.	.	.	YBR078W	protein_coding	634	193	866	222	457	234
II	406572	407092	.	.	.	YBR082C	protein_coding	541	129	675	135	353	129
II	414197	414736	.	.	.	YBR084C-A	protein_coding	3059	1617	6598	1764	2788	1691
II	425366	425660	.	.	.	YBR088C	protein_coding	103	51	126	64	58	53
II	425366	425660	.	.	.	YBR089W	protein_coding	103	51	126	64	58	53
II	426168	426420	.	.	.	YBR089C-A	protein_coding	106	59	164	64	81	32
II	426168	426420	.	.	.	YBR090C	protein_coding	106	59	164	64	81	32
II	457801	458357	.	.	.	YBR109C	protein_coding	424	147	772	156	373	157
II	45977	46281	.	.	.	YBL092W	protein_coding	2875	1768	5883	1716	2533	1615
II	461483	461764	.	.	.	YBR111C	protein_coding	118	90	139	83	63	65
II	477675	479015	.	.	.	YBR118W	protein_coding	20178	13746	26711	14273	10839	13905
II	491302	492817	.	.	.	YBR127C	protein_coding	1069	690	1514	758	594	599
II	604957	605118	.	.	.	YBR189W	protein_coding	1572	1360	3333	1290	1154	1041
II	605184	605428	.	.	.	YBR189W	protein_coding	2545	2111	4818	2280	2617	2459
II	606667	607071	.	.	.	YBR191W	protein_coding	2457	2185	5483	2181	2248	2112
II	665185	666349	.	.	.	YBR221C	protein_coding	572	371	911	319	343	362
