chrom	start	end	name	score	strand	Gene_id	Biotype	IP1	IN1	IP2	IN2	IP3	IN3
I	139413	141460	.	.	.	YAL004W	protein_coding	3031	520	2004	935	2577	1399
I	139413	141460	.	.	.	YAL005C	protein_coding	3031	520	2004	935	2577	1399
I	142183	143376	.	.	.	YAL003W	protein_coding	3069	404	2331	994	3072	1539
I	142183	143376	.	.	.	snR18	snoRNA	3069	404	2331	994	3072	1539
I	57995	58378	.	.	.	YAL044C	protein_coding	130	50	101	163	198	128
I	71747	73435	.	.	.	YAL037C-A	protein_coding	13781	2666	10721	4957	9419	3810
I	71747	73435	.	.	.	YAL037C-B	protein_coding	13781	2666	10721	4957	9419	3810
I	71747	73435	.	.	.	YAL038W	protein_coding	13781	2666	10721	4957	9419	3810
II	141314	141883	.	.	.	YBL041W	protein_coding	190	40	187	187	231	82
II	163010	163738	.	.	.	YBL030C	protein_coding	293	5	140	26	181	36
II	168776	169405	.	.	.	YBL027W	protein_coding	2268	638	3087	1860	4572	2117
II	235309	235813	.	.	.	YBL003C	protein_coding	453	189	586	781	771	323
II	236499	237107	.	.	.	YBL002W	protein_coding	388	41	372	94	387	40
II	255276	255708	.	.	.	YBR009C	protein_coding	556	214	412	568	809	263
II	256294	256817	.	.	.	YBR010W	protein_coding	875	252	712	855	1099	220
II	257030	257972	.	.	.	YBR011C	protein_coding	1416	238	1124	487	1123	520
II	300121	301338	.	.	.	YBR031W	protein_coding	3844	423	2815	620	3194	1286
II	306353	306889	.	.	.	YBR035C	protein_coding	191	30	103	99	148	70
II	315947	316133	.	.	.	YBR039W	protein_coding	58	15	51	39	52	25
II	316223	316543	.	.	.	YBR039W	protein_coding	131	19	97	63	132	38
II	333303	334023	.	.	.	YBR048W	protein_coding	983	92	1729	135	1728	162
II	37194	38697	.	.	.	YBL099W	protein_coding	608	61	390	161	572	122
II	37194	38697	.	.	.	YBL100C	protein_coding	608	61	390	161	572	122
II	372489	372698	.	.	.	YBR067C	protein_coding	85	5	145	5	67	5
